web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
coley2006,67,3,0.090909091,1.166666667,0.055555556,0.297297297,0.9375,0.9375,0.559016994,0.388888889,2.243243243,0.04658285,0.03766363,0.02797622,0.011707918,536870956.2,1.098612289,3,0.104937538,0.090909091,0.423152637
coley2006,68,2,0.060606061,0.533333333,-0.233333333,0.378378378,0.96875,0.96875,0.695970545,0.266666667,2.189189189,0.004061896,0.000459313,0.028475796,0.012504936,268435505,0.693147181,2,0.069958359,0.090909091,0.203795047
coley2006,69,1,0.03030303,0.166666667,-0.833333333,0.972972973,1,1,1,0.166666667,2.459459459,0,0,0.026102813,0.010527871,134217776.5,0,1,0.034979179,0.068181818,0
coley2006,70,1,0.03030303,0.2,-0.8,1,1,1,1,0.2,2.486486486,0,0,0.02535345,0.010404498,134217776.5,0,1,0.034979179,0.056818182,0.101755598
coley2006,71,4,0.121212121,1.116666667,0.029166667,0.162162162,0.90625,0.90625,0.475985819,0.279166667,1.810810811,0.104501704,0.088233943,0.034970275,0.014092865,2147483650,1.386294361,4,0.139916717,0.170454545,0.215574105
Ibanez2013,25,16,0.666666667,1.521245421,0.032577839,0.04,0.347826087,0.347826087,0.147441956,0.095077839,1,0.044466403,0.033333333,0.03869969,0.045417849,4294967304,2.772588722,16,0.709136854,0.648809524,0.080796501
Ibanez2013,26,11,0.458333333,0.768788156,-0.021019259,0.4,0.565217391,0.565217391,0.226679067,0.069889832,1,0.044466403,0,0.03869969,0.041098239,4294967302,2.397895273,11,0.487531587,0.56462585,0.019851118
Ibanez2013,27,11,0.458333333,0.930372405,-0.006329781,0.44,0.565217391,0.565217391,0.226679067,0.08457931,1,0.044466403,0,0.03869969,0.034973799,4294967302,2.397895273,11,0.487531587,0.476190476,0.086447371
Ibanez2013,28,13,0.541666667,1.086721612,0.006670893,0.16,0.47826087,0.47826087,0.191805364,0.08359397,1,0.044466403,0,0.03869969,0.040218868,4294967303,2.564949357,13,0.576173694,0.578231293,0.07014205
Ibanez2013,29,8,0.333333333,0.907081807,-0.011614774,0.88,0.695652174,0.695652174,0.294883912,0.113385226,1.08,0,0,0.037151703,0.025587733,2147483652,2.079441542,8,0.354568427,0.295918367,0.183231467
Ibanez2013,30,15,0.625,1.130967643,0.008731176,0.12,0.391304348,0.391304348,0.161514571,0.075397843,1,0.044466403,0.266666667,0.03869969,0.050217978,4294967304,2.708050201,15,0.6648158,0.714965986,0.020506552
Ibanez2013,31,11,0.458333333,0.991804029,-0.000745088,0.48,0.565217391,0.565217391,0.226679067,0.090164003,1,0.044466403,0,0.03869969,0.037139928,4294967302,2.397895273,11,0.487531587,0.510204082,0.078313162
Ibanez2013,32,12,0.5,0.85285409,-0.012262159,0.32,0.52173913,0.52173913,0.208514414,0.071071174,1,0.044466403,0,0.03869969,0.042706318,1073741873,2.48490665,12,0.53185264,0.591836735,0.02511294
Ibanez2013,33,11,0.458333333,0.869383394,-0.011874237,0.52,0.565217391,0.565217391,0.226679067,0.079034854,1,0.044466403,0,0.03869969,0.037544565,4294967302,2.397895273,11,0.487531587,0.517006803,0.058556621
Ibanez2013,34,16,0.666666667,1.44769536,0.02798096,0.08,0.347826087,0.347826087,0.147441956,0.09048096,1,0.044466403,0.386666667,0.03869969,0.048973432,4294967304,2.772588722,16,0.709136854,0.68622449,0.059916243
Ibanez2013,35,9,0.375,0.631425519,-0.04095272,0.72,0.652173913,0.652173913,0.269190951,0.070158391,1.08,0.010869565,0,0.037151703,0.034531804,2147483653,2.197224577,9,0.39888948,0.452380952,0.038309933
Ibanez2013,36,10,0.416666667,0.686187424,-0.031381258,0.68,0.608695652,0.608695652,0.246717582,0.068618742,1,0.044466403,0,0.03869969,0.037603092,2147483653,2.302585093,10,0.443210534,0.520408163,0.020460199
Ibanez2013,37,11,0.458333333,0.834539072,-0.015041903,0.56,0.565217391,0.565217391,0.226679067,0.075867188,1,0.044466403,0,0.03869969,0.037098676,4294967302,2.397895273,11,0.487531587,0.520408163,0.050028946
Ibanez2013,38,13,0.541666667,0.994459707,-0.000426176,0.2,0.47826087,0.47826087,0.191805364,0.076496901,1,0.044466403,0.006666667,0.03869969,0.043251609,4294967303,2.564949357,13,0.576173694,0.612244898,0.042127843
Ibanez2013,39,17,0.708333333,1.433745421,0.025514437,0,0.304347826,0.304347826,0.133801395,0.084337966,1,0.044466403,0.286666667,0.03869969,0.051153269,4294967305,2.833213344,17,0.753457907,0.716286515,0.045612518
Ibanez2013,40,8,0.333333333,0.704242979,-0.036969628,0.92,0.695652174,0.695652174,0.294883912,0.088030372,1.04,0.022233202,0,0.037925697,0.028534067,2147483652,2.079441542,8,0.354568427,0.336734694,0.117563603
Ibanez2013,41,9,0.375,0.798946886,-0.022339235,0.76,0.652173913,0.652173913,0.269190951,0.088771876,1,0.044466403,0,0.03869969,0.032101353,2147483653,2.197224577,9,0.39888948,0.418367347,0.085387423
Ibanez2013,42,13,0.541666667,0.954044567,-0.003535033,0.24,0.47826087,0.47826087,0.191805364,0.073388044,1,0.044466403,0.02,0.03869969,0.045140129,4294967303,2.564949357,13,0.576173694,0.642857143,0.025555742
Ibanez2013,43,12,0.5,0.799557387,-0.016703551,0.36,0.52173913,0.52173913,0.208514414,0.066629782,1,0.044466403,0,0.03869969,0.044588509,1073741873,2.48490665,12,0.53185264,0.629251701,0.002264129
Ibanez2013,44,8,0.333333333,0.551526252,-0.056059219,0.96,0.695652174,0.695652174,0.294883912,0.068940781,1,0.044466403,0,0.03869969,0.031047758,2147483652,2.079441542,8,0.354568427,0.418367347,0.034256392
Ibanez2013,45,9,0.375,0.873748474,-0.014027947,0.8,0.652173913,0.652173913,0.269190951,0.097083164,1,0.044466403,0,0.03869969,0.029435489,2147483653,2.197224577,9,0.39888948,0.394557823,0.115650682
Ibanez2013,46,9,0.375,0.606883394,-0.043679623,0.84,0.652173913,0.652173913,0.269190951,0.067431488,1,0.044466403,0,0.03869969,0.034329767,2147483653,2.197224577,9,0.39888948,0.465986395,0.026118938
Ibanez2013,47,7,0.291666667,0.466407204,-0.076227542,1,0.739130435,0.739130435,0.324946245,0.066629601,1.08,0.010869565,0,0.037151703,0.029252504,536870961.2,1.945910149,7,0.310247374,0.367346939,0.035565511
Ibanez2013,48,11,0.458333333,0.823489011,-0.016046454,0.6,0.565217391,0.565217391,0.226679067,0.074862637,1,0.044466403,0,0.03869969,0.039127953,4294967302,2.397895273,11,0.487531587,0.537414966,0.04152844
Ibanez2013,49,11,0.458333333,1.125671551,0.011424686,0.64,0.565217391,0.565217391,0.226679067,0.102333777,1.04,0.022233202,0,0.037925697,0.033643017,4294967302,2.397895273,11,0.487531587,0.431972789,0.135055681
Ibanez2013,50,13,0.541666667,1.208211233,0.016016249,0.28,0.47826087,0.47826087,0.191805364,0.092939326,1,0.044466403,0,0.03869969,0.039379262,4294967303,2.564949357,13,0.576173694,0.568027211,0.087806616
janzen1980,10,1,0.111111111,0.25,-0.75,0.714285714,1,1,1,0.25,1.571428571,0,0,0.12195122,0.076023392,134217776.5,0,1,0.126377916,0.2,0
janzen1980,11,1,0.111111111,0.25,-0.75,0.857142857,1,1,1,0.25,1.571428571,0,0,0.12195122,0.076023392,134217776.5,0,1,0.126377916,0.2,0
janzen1980,12,2,0.222222222,0.75,-0.125,0.285714286,0.875,0.875,0.661437828,0.375,1.571428571,0,0,0.12195122,0.072222222,268435505,0.693147181,2,0.252755831,0.3,0.25
janzen1980,13,2,0.222222222,0.583333333,-0.208333333,0.428571429,0.875,0.875,0.661437828,0.291666667,1.571428571,0,0,0.12195122,0.096296296,268435505,0.693147181,2,0.252755831,0.35,0.103759375
janzen1980,14,1,0.111111111,0.25,-0.75,1,1,1,1,0.25,1.571428571,0,0,0.12195122,0.076023392,134217776.5,0,1,0.126377916,0.2,0
janzen1980,15,3,0.333333333,1.083333333,0.027777778,0.142857143,0.75,0.75,0.5,0.361111111,1.571428571,0,0.166666667,0.12195122,0.103174603,536870956.2,1.098612289,3,0.379133747,0.45,0.179052232
janzen1980,16,8,0.888888889,4.833333333,0.479166667,0,0.125,0.125,0.125,0.604166667,1,1,0.833333333,0.170731707,0.131313131,2147483652,2.079441542,8,1.011023324,0.725,0.116482745
janzen1980,17,2,0.222222222,1,0,0.571428571,0.875,0.875,0.661437828,0.5,1.857142857,0,0,0.097560976,0.08496732,268435505,0.693147181,2,0.252755831,0.2,0.5
janzen2003,465,12,0.025862069,4.491666667,0.290972222,0.147435897,0.976241901,0.976241901,0.285225335,0.374305556,3.173076923,0.016826508,0.011734676,0.009015754,0.001195429,1073741873,2.48490665,12,0.033232475,0.038077969,0.503296347
janzen2003,466,2,0.004310345,1,0,0.743589744,0.997840173,0.997840173,0.706342754,0.5,5.711538462,0,0,0.004455563,0.000805016,268435505,0.693147181,2,0.005538746,0.003626473,0.721057054
janzen2003,467,11,0.023706897,6.083333333,0.462121212,0.185897436,0.978401728,0.978401728,0.298237509,0.553030303,4.262820513,0.021731822,0.018696976,0.006135946,0.000816836,4294967302,2.397895273,11,0.030463102,0.022665458,0.687111121
janzen2003,468,18,0.038793103,10.58333333,0.532407407,0.057692308,0.963282937,0.963282937,0.231334647,0.587962963,5.217948718,0.007420036,0.009544754,0.004968406,0.000775977,4294967305,2.890371758,18,0.049848713,0.033544878,0.7116386
janzen2003,469,9,0.019396552,4.083333333,0.342592593,0.25,0.982721382,0.982721382,0.330441015,0.453703704,5.230769231,0,0,0.004829636,0.000767482,2147483653,2.197224577,9,0.024924356,0.020852221,0.62503496
janzen2003,470,2,0.004310345,1,0,0.75,0.997840173,0.997840173,0.706342754,0.5,6.211538462,0,0,0.00391838,0.000670309,268435505,0.693147181,2,0.005538746,0.003626473,0.721057054
janzen2003,471,8,0.017241379,5.583333333,0.572916667,0.307692308,0.98488121,0.98488121,0.350870562,0.697916667,4.358974359,0.00682679,0.004421163,0.006072178,0.000759503,2147483652,2.079441542,8,0.022154983,0.013599275,0.793703439
janzen2003,472,4,0.00862069,1.5,0.125,0.525641026,0.993520518,0.993520518,0.498377497,0.375,5.557692308,0.003209506,0.00171475,0.005059818,0.000637907,2147483650,1.386294361,4,0.011077492,0.01087942,0.57412945
janzen2003,473,8,0.017241379,5.5,0.5625,0.314102564,0.98488121,0.98488121,0.350870562,0.6875,3.775641026,0.001777481,0,0.007570894,0.000871096,2147483652,2.079441542,8,0.022154983,0.015412511,0.772096176
janzen2003,474,3,0.006465517,0.75,-0.083333333,0.621794872,0.995680346,0.995680346,0.576101943,0.25,3.788461538,0.001000222,0,0.00773048,0.000928931,536870956.2,1.098612289,3,0.008308119,0.01631913,0.364506457
